sample,file1
B1,/22L011122_S1_L001_R1_001.fastq.gz.c4gh
B1,/22L011122_S1_L001_R2_001.fastq.gz.c4gh
B1,/22L011122_S1_L002_R1_001.fastq.gz.c4gh
B1,/22L011122_S1_L002_R2_001.fastq.gz.c4gh
B2,/22L011123_S2_L001_R1_001.fastq.gz.c4gh
B2,/22L011123_S2_L001_R2_001.fastq.gz.c4gh
B2,/22L011123_S2_L002_R1_001.fastq.gz.c4gh
B2,/22L011123_S2_L002_R2_001.fastq.gz.c4gh
B3,/22L012280_S1_L001_R1_001.fastq.gz.c4gh
B3,/22L012280_S1_L001_R2_001.fastq.gz.c4gh
B3,/22L012280_S1_L002_R1_001.fastq.gz.c4gh
B3,/22L012280_S1_L002_R2_001.fastq.gz.c4gh
B4,/22L012281_S2_L001_R1_001.fastq.gz.c4gh
B4,/22L012281_S2_L001_R2_001.fastq.gz.c4gh
B4,/22L012281_S2_L002_R1_001.fastq.gz.c4gh
B4,/22L012281_S2_L002_R2_001.fastq.gz.c4gh
B5,/23L000536_S2_L002_R1_001.fastq.gz.c4gh
B5,/23L000536_S2_L002_R2_001.fastq.gz.c4gh
B6,/23L000537_S1_L001_R1_001.fastq.gz.c4gh
B6,/23L000537_S1_L001_R2_001.fastq.gz.c4gh
B6,/23L000537_S1_L002_R1_001.fastq.gz.c4gh
B6,/23L000537_S1_L002_R2_001.fastq.gz.c4gh
B7,/23L000538_S2_L001_R1_001.fastq.gz.c4gh
B7,/23L000538_S2_L001_R2_001.fastq.gz.c4gh
B7,/23L000538_S2_L002_R1_001.fastq.gz.c4gh
B7,/23L000538_S2_L002_R2_001.fastq.gz.c4gh
B8,/23L011506_S1_L001_R1_001.fastq.gz.c4gh
B8,/23L011506_S1_L001_R2_001.fastq.gz.c4gh
B8,/23L011506_S1_L002_R1_001.fastq.gz.c4gh
B8,/23L011506_S1_L002_R2_001.fastq.gz.c4gh
B9,/23L011508_S2_L001_R1_001.fastq.gz.c4gh
B9,/23L011508_S2_L001_R2_001.fastq.gz.c4gh
B9,/23L011508_S2_L002_R1_001.fastq.gz.c4gh
B9,/23L011508_S2_L002_R2_001.fastq.gz.c4gh
B10,/23L011510_S3_L001_R1_001.fastq.gz.c4gh
B10,/23L011510_S3_L001_R2_001.fastq.gz.c4gh
B10,/23L011510_S3_L002_R1_001.fastq.gz.c4gh
B10,/23L011510_S3_L002_R2_001.fastq.gz.c4gh
B11,/23L011512_S4_L001_R1_001.fastq.gz.c4gh
B11,/23L011512_S4_L001_R2_001.fastq.gz.c4gh
B11,/23L011512_S4_L002_R1_001.fastq.gz.c4gh
B11,/23L011512_S4_L002_R2_001.fastq.gz.c4gh
B12,/24L010653_S1_L001_R1_001.fastq.gz.c4gh
B12,/24L010653_S1_L001_R2_001.fastq.gz.c4gh
B12,/24L010653_S1_L002_R1_001.fastq.gz.c4gh
B12,/24L010653_S1_L002_R2_001.fastq.gz.c4gh
B13,/24L010654_S2_L001_R1_001.fastq.gz.c4gh
B13,/24L010654_S2_L001_R2_001.fastq.gz.c4gh
B13,/24L010654_S2_L002_R1_001.fastq.gz.c4gh
B13,/24L010654_S2_L002_R2_001.fastq.gz.c4gh
B14,/24L010652_S4_L001_R1_001.fastq.gz.c4gh
B14,/24L010652_S4_L001_R2_001.fastq.gz.c4gh
B14,/24L010652_S4_L002_R1_001.fastq.gz.c4gh
B14,/24L010652_S4_L002_R2_001.fastq.gz.c4gh
