alias,title,description,biological_sex,subject_id,phenotype,biosample_id,case_control,organism_part,cell_line
B1,mixed,"multiplexed pool B1 (blood and sputum, multiple subjects)",unknown,many,mixed,B1,both,mixed,
B2,mixed,"multiplexed pool B2 (blood and sputum, multiple subjects)",unknown,many,mixed,B2,both,mixed,
B3,mixed,"multiplexed pool B3 (blood and sputum, multiple subjects)",unknown,many,mixed,B3,both,mixed,
B4,mixed,"multiplexed pool B4 (blood and sputum, multiple subjects)",unknown,many,mixed,B4,both,mixed,
B5,mixed,"multiplexed pool B5 (blood and sputum, multiple subjects)",unknown,many,mixed,B5,both,mixed,
B6,mixed,"multiplexed pool B6 (blood and sputum, multiple subjects)",unknown,many,mixed,B6,both,mixed,
B7,mixed,"multiplexed pool B7 (blood and sputum, multiple subjects)",unknown,many,mixed,B7,both,mixed,
B8,mixed,"multiplexed pool B8 (blood and sputum, multiple subjects)",unknown,many,mixed,B8,both,mixed,
B9,mixed,"multiplexed pool B9 (blood and sputum, multiple subjects)",unknown,many,mixed,B9,both,mixed,
B10,mixed,"multiplexed pool B10 (blood and sputum, multiple subjects)",unknown,many,mixed,B10,both,mixed,
B11,mixed,"multiplexed pool B11 (blood and sputum, multiple subjects)",unknown,many,mixed,B11,both,mixed,
B12,mixed,"multiplexed pool B12 (blood and sputum, multiple subjects)",unknown,many,mixed,B12,both,mixed,
B13,mixed,"multiplexed pool B13 (blood and sputum, multiple subjects)",unknown,many,mixed,B13,both,mixed,
B14,mixed,"multiplexed pool B14 (blood and sputum, multiple subjects)",unknown,many,mixed,B14,both,mixed,
